"title","alias","description","subjectId","bioSampleId","caseOrControl","gender","organismPart","cellLine","region","phenotype"
"VT11_N701_S517","bulkRNA_VT11_N701_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N702_S517","bulkRNA_VT11_N702_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N703_S517","bulkRNA_VT11_N703_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N704_S517","bulkRNA_VT11_N704_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N705_S517","bulkRNA_VT11_N705_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N706_S517","bulkRNA_VT11_N706_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N707_S517","bulkRNA_VT11_N707_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N708_S517","bulkRNA_VT11_N708_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N709_S517","bulkRNA_VT11_N709_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N710_S517","bulkRNA_VT11_N710_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N711_S517","bulkRNA_VT11_N711_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N712_S517","bulkRNA_VT11_N712_S517","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N701_S502","bulkRNA_VT11_N701_S502","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N702_S502","bulkRNA_VT11_N702_S502","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N703_S502","bulkRNA_VT11_N703_S502","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N704_S502","bulkRNA_VT11_N704_S502","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N705_S502","bulkRNA_VT11_N705_S502","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
"VT11_N706_S502","bulkRNA_VT11_N706_S502","Bulk sample from PT1-derived PDX at day d0 (untreated)","PT1","","case","unknown","","","","MONDO:0000870 - childhood acute lymphoblastic leukemia"
